variant,seed,top1,mrr@5,map@5,ndcg@5,recall@1,recall@5,precision@5,f1@5,coverage,sel_acc@80,micro_precision@1,micro_recall@1,micro_precision@5,micro_recall@5,conf_thr,gap_thr,n_test
lsi,42,0.47368421052631576,0.5745614035087719,0.28678362573099414,0.3847136615504421,0.15891812865497076,0.3483082706766917,0.25263157894736843,0.29285349752234824,0.7894736842105263,0.4666666666666667,0.47368421052631576,0.10112359550561797,0.25263157894736843,0.2696629213483146,0.32974672765566304,0.0,19.0
lsi,43,0.3157894736842105,0.41754385964912283,0.2219298245614035,0.2982779352769624,0.08134920634920634,0.29438178780284047,0.21052631578947367,0.24549066565068303,0.7894736842105263,0.4,0.3157894736842105,0.0625,0.21052631578947367,0.20833333333333334,0.2881358672610007,0.0,19.0
lsi,44,0.15789473684210525,0.3087719298245614,0.15567251461988302,0.22415413387695574,0.026817042606516288,0.1935672514619883,0.2210526315789474,0.20639893103704257,0.8947368421052632,0.17647058823529413,0.15789473684210525,0.03296703296703297,0.22105263157894736,0.23076923076923078,0.2975935803970855,0.0,19.0
lsi,45,0.47368421052631576,0.6052631578947368,0.3128947368421053,0.4054245863091132,0.18260233918128654,0.34538429406850457,0.2736842105263158,0.3053821253988519,0.8947368421052632,0.5294117647058824,0.47368421052631576,0.0989010989010989,0.2736842105263158,0.2857142857142857,0.31934864732407137,0.0,19.0
lsi,46,0.3684210526315789,0.44298245614035087,0.24561403508771926,0.3176887790147222,0.11848370927318295,0.31083959899749375,0.2210526315789474,0.2583677948552616,0.631578947368421,0.5,0.3684210526315789,0.07446808510638298,0.22105263157894736,0.22340425531914893,0.35071743554205964,0.0,19.0
lsi,47,0.3157894736842105,0.41403508771929826,0.20842105263157895,0.26844994007411493,0.11570593149540516,0.21364016100858202,0.17894736842105266,0.19476087107034784,0.8421052631578947,0.375,0.3157894736842105,0.06382978723404255,0.17894736842105263,0.18085106382978725,0.3100873647324929,0.0,19.0
lsi,48,0.3157894736842105,0.45175438596491224,0.18706140350877193,0.2699438581730971,0.06965329991645781,0.20958646616541354,0.2210526315789474,0.2151669002274346,0.47368421052631576,0.5555555555555556,0.3157894736842105,0.05172413793103448,0.22105263157894736,0.1810344827586207,0.44080870824330987,0.0,19.0
lsi,49,0.21052631578947367,0.2973684210526316,0.1693567251461988,0.23093630381165672,0.1023391812865497,0.27207602339181286,0.12631578947368424,0.17253114437469824,0.8421052631578947,0.25,0.21052631578947367,0.05,0.12631578947368421,0.15,0.29175309698634116,0.0,19.0
lsi,50,0.3684210526315789,0.5043859649122806,0.2196491228070175,0.3153795212216138,0.1222953216374269,0.279156223893066,0.2210526315789474,0.24672980991099877,0.7368421052631579,0.42857142857142855,0.3684210526315789,0.07777777777777778,0.22105263157894736,0.23333333333333334,0.2664572577033376,0.0,19.0
lsi,51,0.2631578947368421,0.3701754385964912,0.1817251461988304,0.2506090526079428,0.10263157894736841,0.26666666666666666,0.1473684210526316,0.18983050847457628,0.6842105263157895,0.23076923076923078,0.2631578947368421,0.07692307692307693,0.14736842105263157,0.2153846153846154,0.24639262503332243,0.01,19.0
