method,top1,mrr@5,map@5,ndcg@5,recall@1,recall@5,precision@5,f1@5,coverage,sel_acc@80,micro_precision@1,micro_recall@1,micro_precision@5,micro_recall@5,avg_steps
tfidf,0.356 ± 0.040,0.444 ± 0.039,0.201 ± 0.022,0.273 ± 0.025,0.117 ± 0.020,0.234 ± 0.021,0.173 ± 0.018,0.196 ± 0.017,0.723 ± 0.066,0.424 ± 0.043,0.356 ± 0.040,0.076 ± 0.009,0.173 ± 0.018,0.183 ± 0.016,N/A
bm25,0.349 ± 0.040,0.428 ± 0.038,0.187 ± 0.017,0.260 ± 0.021,0.107 ± 0.014,0.226 ± 0.020,0.161 ± 0.015,0.185 ± 0.015,0.744 ± 0.068,0.407 ± 0.053,0.349 ± 0.040,0.075 ± 0.009,0.161 ± 0.015,0.172 ± 0.014,N/A
lsi,0.305 ± 0.039,0.409 ± 0.040,0.206 ± 0.020,0.279 ± 0.025,0.103 ± 0.016,0.262 ± 0.023,0.186 ± 0.019,0.214 ± 0.020,0.770 ± 0.055,0.367 ± 0.054,0.305 ± 0.039,0.065 ± 0.008,0.186 ± 0.019,0.198 ± 0.019,N/A
single,0.349 ± 0.040,0.428 ± 0.038,0.187 ± 0.017,0.260 ± 0.021,0.107 ± 0.014,0.226 ± 0.020,0.161 ± 0.015,0.185 ± 0.015,0.744 ± 0.068,0.407 ± 0.053,0.349 ± 0.040,0.075 ± 0.009,0.161 ± 0.015,0.172 ± 0.014,2.000 ± 0.000
multi,0.342 ± 0.041,0.424 ± 0.041,0.209 ± 0.022,0.282 ± 0.026,0.113 ± 0.019,0.259 ± 0.024,0.181 ± 0.019,0.210 ± 0.020,0.705 ± 0.058,0.418 ± 0.059,0.342 ± 0.041,0.073 ± 0.009,0.181 ± 0.019,0.192 ± 0.018,3.000 ± 0.000
reform,0.351 ± 0.046,0.437 ± 0.045,0.205 ± 0.023,0.282 ± 0.028,0.104 ± 0.016,0.258 ± 0.025,0.186 ± 0.020,0.213 ± 0.020,0.719 ± 0.058,0.432 ± 0.057,0.351 ± 0.046,0.074 ± 0.009,0.186 ± 0.020,0.197 ± 0.019,4.821 ± 0.025
decomp,0.351 ± 0.046,0.437 ± 0.045,0.205 ± 0.023,0.282 ± 0.028,0.104 ± 0.016,0.258 ± 0.025,0.186 ± 0.020,0.213 ± 0.020,0.719 ± 0.058,0.432 ± 0.057,0.351 ± 0.046,0.074 ± 0.009,0.186 ± 0.020,0.197 ± 0.019,5.377 ± 0.035
crossref,0.351 ± 0.046,0.437 ± 0.045,0.205 ± 0.023,0.282 ± 0.028,0.104 ± 0.016,0.258 ± 0.025,0.186 ± 0.020,0.213 ± 0.020,0.719 ± 0.058,0.432 ± 0.057,0.351 ± 0.046,0.074 ± 0.009,0.186 ± 0.020,0.197 ± 0.019,6.377 ± 0.035
agent,0.351 ± 0.046,0.437 ± 0.045,0.205 ± 0.023,0.282 ± 0.028,0.104 ± 0.016,0.258 ± 0.025,0.186 ± 0.020,0.213 ± 0.020,0.718 ± 0.062,0.425 ± 0.062,0.351 ± 0.046,0.074 ± 0.009,0.186 ± 0.020,0.197 ± 0.019,7.377 ± 0.035
