variant,seed,top1,mrr@5,map@5,ndcg@5,recall@1,recall@5,precision@5,f1@5,coverage,sel_acc@80,micro_precision@1,micro_recall@1,micro_precision@5,micro_recall@5,conf_thr,gap_thr,n_test,avg_steps
multi,42,0.3333333333333333,0.4261904761904762,0.16936507936507936,0.2564598748725475,0.07465986394557823,0.21373771730914587,0.2,0.20664078556748117,0.8571428571428571,0.3333333333333333,0.3333333333333333,0.07,0.2,0.21,0.0479384003974168,0.0,21.0,3.0
multi,43,0.3333333333333333,0.46190476190476193,0.2179100529100529,0.3169899221531179,0.11050642479213907,0.33567992853707135,0.2190476190476191,0.2651027136772744,0.9047619047619048,0.3684210526315789,0.3333333333333333,0.08235294117647059,0.21904761904761905,0.27058823529411763,0.04817150063051703,0.0,21.0,3.0
multi,44,0.42857142857142855,0.5238095238095238,0.23805555555555555,0.3267868761341508,0.13458049886621315,0.30419501133786847,0.21904761904761907,0.25469328793272455,0.8571428571428571,0.5,0.42857142857142855,0.1,0.21904761904761905,0.25555555555555554,0.04839549075403121,0.0,21.0,3.0
multi,45,0.3333333333333333,0.44047619047619047,0.17555555555555555,0.25662110218411466,0.08503401360544217,0.21496598639455777,0.18095238095238098,0.19649811814760268,0.7142857142857143,0.4666666666666667,0.3333333333333333,0.07446808510638298,0.18095238095238095,0.20212765957446807,0.048651507139079855,0.0,21.0,3.0
multi,46,0.47619047619047616,0.5753968253968255,0.32130952380952377,0.4138469992461891,0.18015873015873016,0.3552697302697303,0.2761904761904762,0.3107784622860232,0.7142857142857143,0.6,0.47619047619047616,0.10101010101010101,0.2761904761904762,0.29292929292929293,0.04841188524590164,0.0,21.0,3.0
multi,47,0.5238095238095238,0.6087301587301587,0.2542063492063492,0.35765391046567147,0.1031557067271353,0.2623050230193087,0.28571428571428575,0.2735096778411627,1.0,0.5238095238095238,0.5238095238095238,0.09649122807017543,0.2857142857142857,0.2631578947368421,0.04793840039741679,0.0,21.0,3.0
multi,48,0.47619047619047616,0.5611111111111111,0.3083068783068783,0.3956981927064744,0.14767573696145125,0.34019274376417236,0.28571428571428575,0.3105826335606247,0.8571428571428571,0.5555555555555556,0.47619047619047616,0.10416666666666667,0.2857142857142857,0.3125,0.04838709677419355,0.0,21.0,3.0
multi,49,0.38095238095238093,0.515079365079365,0.2715476190476191,0.369405545164821,0.1259259259259259,0.33862433862433855,0.2761904761904762,0.3042373575936399,0.6190476190476191,0.46153846153846156,0.38095238095238093,0.07207207207207207,0.2761904761904762,0.26126126126126126,0.04865990111891752,0.0,21.0,3.0
multi,50,0.47619047619047616,0.5611111111111111,0.2967592592592592,0.3905396919008756,0.1371504157218443,0.33010204081632655,0.2952380952380953,0.3116982011733168,1.0,0.47619047619047616,0.47619047619047616,0.09615384615384616,0.29523809523809524,0.2980769230769231,0.04771225838023,0.0,21.0,3.0
multi,51,0.38095238095238093,0.4936507936507937,0.2263888888888889,0.3121425238191492,0.1626984126984127,0.2923280423280423,0.19047619047619052,0.230658838878017,0.7142857142857143,0.5333333333333333,0.38095238095238093,0.08080808080808081,0.19047619047619047,0.20202020202020202,0.04841188524590164,0.0,21.0,3.0
multi,52,0.5238095238095238,0.6166666666666666,0.33496031746031746,0.43150795099749106,0.14688208616780044,0.3776643990929705,0.31428571428571433,0.343072493621404,0.7142857142857143,0.6,0.5238095238095238,0.10679611650485436,0.3142857142857143,0.32038834951456313,0.04865990111891751,0.0,21.0,3.0
multi,53,0.3333333333333333,0.43650793650793646,0.24846560846560845,0.3174425553701715,0.15568783068783068,0.2934371184371184,0.18095238095238098,0.22385885568434954,0.8571428571428571,0.3333333333333333,0.3333333333333333,0.07216494845360824,0.18095238095238095,0.1958762886597938,0.04839549075403121,0.0,21.0,3.0
multi,54,0.42857142857142855,0.5484126984126984,0.25896825396825396,0.36598764775593534,0.1022392290249433,0.316780772137915,0.2952380952380953,0.3056302893897258,0.6190476190476191,0.5384615384615384,0.42857142857142855,0.08256880733944955,0.29523809523809524,0.28440366972477066,0.048651507139079855,0.0,21.0,3.0
multi,55,0.47619047619047616,0.5476190476190477,0.2917857142857143,0.3767309911782927,0.19933862433862432,0.3351851851851852,0.23809523809523814,0.2784187048146439,0.7619047619047619,0.625,0.47619047619047616,0.10989010989010989,0.23809523809523808,0.27472527472527475,0.04841188524590165,0.0,21.0,3.0
multi,56,0.42857142857142855,0.496031746031746,0.20740740740740743,0.2958918711413848,0.10396825396825396,0.26706349206349206,0.2,0.22871707731520816,0.6190476190476191,0.6153846153846154,0.42857142857142855,0.12,0.2,0.28,0.04865990111891752,0.0,21.0,3.0
multi,57,0.47619047619047616,0.6047619047619047,0.23134920634920636,0.34138325984974105,0.09410430839002266,0.25665154950869234,0.2761904761904762,0.26606277378672577,0.8095238095238095,0.5294117647058824,0.47619047619047616,0.1,0.2761904761904762,0.29,0.04817150063051703,0.0,21.0,3.0
multi,58,0.3333333333333333,0.4722222222222222,0.1910714285714286,0.2854096733192103,0.062235449735449734,0.219510582010582,0.23809523809523808,0.22842552254316958,0.8571428571428571,0.3333333333333333,0.3333333333333333,0.056,0.23809523809523808,0.2,0.048131080389144903,0.0,21.0,3.0
multi,59,0.47619047619047616,0.6087301587301587,0.2985582010582011,0.4097955601085565,0.10183295540438397,0.33321995464852605,0.33333333333333337,0.33327663434824517,0.6190476190476191,0.6923076923076923,0.47619047619047616,0.09433962264150944,0.3333333333333333,0.330188679245283,0.04839549075403121,0.0,21.0,3.0
multi,60,0.38095238095238093,0.47777777777777775,0.23992063492063492,0.3250316495308245,0.10249433106575963,0.28809523809523807,0.25714285714285723,0.27174048658764816,0.38095238095238093,0.375,0.38095238095238093,0.07407407407407407,0.2571428571428571,0.25,0.04891591750396616,0.0,21.0,3.0
multi,61,0.38095238095238093,0.5650793650793651,0.1968253968253968,0.30618051827974635,0.098015873015873,0.2718253968253968,0.20952380952380953,0.23664271974247245,0.9047619047619048,0.3684210526315789,0.38095238095238093,0.08602150537634409,0.20952380952380953,0.23655913978494625,0.048131080389144903,0.0,21.0,3.0
multi,62,0.38095238095238093,0.526984126984127,0.2832010582010582,0.3915183495699469,0.12043650793650794,0.41144179894179883,0.2666666666666667,0.32359959686595796,0.38095238095238093,0.5,0.38095238095238093,0.07692307692307693,0.26666666666666666,0.2692307692307692,0.04865990111891752,0.0,21.0,3.0
multi,63,0.38095238095238093,0.5126984126984127,0.1585185185185185,0.2663278078378229,0.08854875283446711,0.24448223733938018,0.20952380952380958,0.22565712541572028,0.6666666666666666,0.42857142857142855,0.38095238095238093,0.09302325581395349,0.20952380952380953,0.2558139534883721,0.04817150063051703,0.0,21.0,3.0
multi,64,0.38095238095238093,0.5134920634920636,0.1630952380952381,0.27190224186171236,0.07201436130007559,0.2571239606953893,0.21904761904761907,0.23656343127750726,0.8095238095238095,0.4117647058823529,0.38095238095238093,0.0851063829787234,0.21904761904761905,0.24468085106382978,0.0479384003974168,0.0,21.0,3.0
multi,65,0.5238095238095238,0.5912698412698413,0.2904761904761905,0.3738028139409917,0.17433862433862432,0.30198412698412697,0.21904761904761907,0.2539150618358539,0.9523809523809523,0.55,0.5238095238095238,0.11224489795918367,0.21904761904761905,0.23469387755102042,0.0479384003974168,0.0,21.0,3.0
multi,66,0.38095238095238093,0.49365079365079356,0.17769841269841272,0.27953948745527607,0.06183862433862434,0.2279761904761905,0.2285714285714286,0.2282734214937605,0.7619047619047619,0.375,0.38095238095238093,0.06722689075630252,0.22857142857142856,0.20168067226890757,0.04838709677419355,0.0,21.0,3.0
multi,67,0.2857142857142857,0.3999999999999999,0.17730158730158732,0.2581917215847679,0.05804988662131519,0.21621315192743765,0.23809523809523808,0.2266272119029793,0.42857142857142855,0.2222222222222222,0.2857142857142857,0.05357142857142857,0.23809523809523808,0.22321428571428573,0.048651507139079855,0.0,21.0,3.0
multi,68,0.42857142857142855,0.5198412698412698,0.30166666666666664,0.37226374751347063,0.17108843537414967,0.34308390022675733,0.21904761904761902,0.26738124051556883,0.7619047619047619,0.5,0.42857142857142855,0.11842105263157894,0.21904761904761905,0.3026315789473684,0.04838709677419355,0.0,21.0,3.0
multi,69,0.38095238095238093,0.47539682539682543,0.18854497354497352,0.2863553468780599,0.09503968253968254,0.2859126984126984,0.18095238095238098,0.22163398295994982,0.8571428571428571,0.3888888888888889,0.38095238095238093,0.09195402298850575,0.18095238095238095,0.21839080459770116,0.04841188524590164,0.0,21.0,3.0
