method,top1,mrr@5,map@5,ndcg@5,recall@1,recall@5,precision@5,f1@5,coverage,sel_acc@80,micro_precision@1,micro_recall@1,micro_precision@5,micro_recall@5,avg_steps
tfidf,0.390 ± 0.036,0.505 ± 0.028,0.217 ± 0.021,0.307 ± 0.022,0.107 ± 0.016,0.262 ± 0.021,0.221 ± 0.016,0.237 ± 0.016,0.792 ± 0.044,0.423 ± 0.044,0.390 ± 0.036,0.084 ± 0.009,0.221 ± 0.016,0.234 ± 0.016,N/A
bm25,0.368 ± 0.036,0.489 ± 0.027,0.212 ± 0.021,0.303 ± 0.022,0.101 ± 0.016,0.275 ± 0.022,0.212 ± 0.015,0.238 ± 0.016,0.778 ± 0.045,0.448 ± 0.043,0.368 ± 0.036,0.079 ± 0.008,0.212 ± 0.015,0.225 ± 0.016,N/A
lsi,0.360 ± 0.033,0.471 ± 0.030,0.218 ± 0.021,0.306 ± 0.023,0.102 ± 0.014,0.269 ± 0.022,0.227 ± 0.018,0.244 ± 0.017,0.797 ± 0.040,0.419 ± 0.042,0.360 ± 0.033,0.077 ± 0.008,0.227 ± 0.018,0.241 ± 0.018,N/A
single,0.368 ± 0.036,0.489 ± 0.027,0.212 ± 0.021,0.303 ± 0.022,0.101 ± 0.016,0.275 ± 0.022,0.212 ± 0.015,0.238 ± 0.016,0.778 ± 0.045,0.448 ± 0.043,0.368 ± 0.036,0.079 ± 0.008,0.212 ± 0.015,0.225 ± 0.016,2.000 ± 0.000
multi,0.403 ± 0.027,0.516 ± 0.023,0.234 ± 0.021,0.328 ± 0.021,0.114 ± 0.015,0.288 ± 0.021,0.238 ± 0.017,0.258 ± 0.017,0.746 ± 0.062,0.460 ± 0.043,0.403 ± 0.027,0.086 ± 0.007,0.238 ± 0.017,0.252 ± 0.016,3.000 ± 0.000
reform,0.406 ± 0.028,0.508 ± 0.025,0.227 ± 0.022,0.317 ± 0.022,0.113 ± 0.016,0.275 ± 0.021,0.226 ± 0.016,0.246 ± 0.015,0.733 ± 0.068,0.489 ± 0.049,0.406 ± 0.028,0.087 ± 0.007,0.226 ± 0.016,0.240 ± 0.016,4.594 ± 0.045
decomp,0.406 ± 0.028,0.508 ± 0.025,0.227 ± 0.022,0.317 ± 0.022,0.113 ± 0.016,0.275 ± 0.021,0.226 ± 0.016,0.246 ± 0.015,0.733 ± 0.068,0.489 ± 0.049,0.406 ± 0.028,0.087 ± 0.007,0.226 ± 0.016,0.240 ± 0.016,5.005 ± 0.060
crossref,0.406 ± 0.028,0.508 ± 0.025,0.227 ± 0.022,0.317 ± 0.022,0.113 ± 0.016,0.275 ± 0.021,0.226 ± 0.016,0.246 ± 0.015,0.733 ± 0.068,0.489 ± 0.049,0.406 ± 0.028,0.087 ± 0.007,0.226 ± 0.016,0.240 ± 0.016,6.005 ± 0.060
agent,0.406 ± 0.028,0.508 ± 0.025,0.227 ± 0.022,0.317 ± 0.022,0.113 ± 0.016,0.275 ± 0.021,0.226 ± 0.016,0.246 ± 0.015,0.721 ± 0.060,0.478 ± 0.051,0.406 ± 0.028,0.087 ± 0.007,0.226 ± 0.016,0.240 ± 0.016,7.005 ± 0.060
