variant,seed,top1,mrr@5,map@5,ndcg@5,recall@1,recall@5,precision@5,f1@5,coverage,sel_acc@80,micro_precision@1,micro_recall@1,micro_precision@5,micro_recall@5,conf_thr,gap_thr,n_test,avg_steps
single,42,0.5833333333333334,0.7083333333333334,0.625,0.6681485467338333,0.5416666666666666,0.7083333333333334,0.16666666666666666,0.2698412698412698,0.8333333333333334,0.7,0.5833333333333334,0.4375,0.16666666666666666,0.625,6.302273700669636,0.0,12.0,2.0
single,43,0.5,0.6416666666666667,0.5916666666666667,0.6452611805207606,0.4583333333333333,0.75,0.16666666666666666,0.27272727272727276,0.6666666666666666,0.75,0.5,0.42857142857142855,0.16666666666666666,0.7142857142857143,6.62474222520206,0.0,12.0,2.0
single,44,0.4166666666666667,0.5694444444444444,0.5277777777777778,0.576896157854113,0.3194444444444444,0.6666666666666666,0.20000000000000007,0.30769230769230776,0.6666666666666666,0.625,0.4166666666666667,0.2777777777777778,0.2,0.6666666666666666,5.306611663880288,0.0,12.0,2.0
single,45,0.4166666666666667,0.5138888888888888,0.5,0.5364586124961822,0.4166666666666667,0.625,0.13333333333333333,0.21978021978021978,0.75,0.5555555555555556,0.4166666666666667,0.3333333333333333,0.13333333333333333,0.5333333333333333,5.728306553463078,0.0,12.0,2.0
single,46,0.5833333333333334,0.7083333333333334,0.6458333333333334,0.6884882922619097,0.5416666666666666,0.75,0.16666666666666666,0.27272727272727276,0.6666666666666666,0.75,0.5833333333333334,0.5,0.16666666666666666,0.7142857142857143,6.302273700669636,0.0,12.0,2.0
single,47,0.5833333333333334,0.75,0.6319444444444444,0.6936085045914502,0.4861111111111111,0.75,0.20000000000000004,0.31578947368421056,1.0,0.5833333333333334,0.5833333333333334,0.3888888888888889,0.2,0.6666666666666666,5.306611663880288,0.0,12.0,2.0
single,48,0.5833333333333334,0.6416666666666667,0.5375,0.5851091502969633,0.4791666666666667,0.6458333333333334,0.15,0.24345549738219893,0.5833333333333334,0.7142857142857143,0.5833333333333334,0.3684210526315789,0.15,0.47368421052631576,8.10698958422236,0.0,12.0,2.0
single,49,0.5833333333333334,0.6416666666666667,0.6,0.6359108127976215,0.5,0.7083333333333334,0.16666666666666666,0.2698412698412698,0.8333333333333334,0.6,0.5833333333333334,0.4375,0.16666666666666666,0.625,5.671745493963794,0.01,12.0,2.0
single,50,0.75,0.8083333333333332,0.7458333333333332,0.7840135508998417,0.6458333333333334,0.8541666666666666,0.20000000000000004,0.32411067193675897,0.9166666666666666,0.8181818181818182,0.75,0.5625,0.2,0.75,5.306611663880288,0.0,12.0,2.0
single,51,0.5,0.625,0.548611111111111,0.5948797161969507,0.40277777777777773,0.6527777777777778,0.18333333333333335,0.2862679955703212,0.5833333333333334,0.7142857142857143,0.5,0.3,0.18333333333333332,0.55,6.410965777456889,0.0,12.0,2.0
