metric,mean_ci95
top1,0.672 ± 0.044
mrr@5,0.762 ± 0.033
map@5,0.676 ± 0.038
ndcg@5,0.729 ± 0.034
recall@1,0.542 ± 0.044
recall@5,0.800 ± 0.038
precision@5,0.217 ± 0.009
f1@5,0.341 ± 0.013
coverage,0.758 ± 0.061
sel_acc@80,0.783 ± 0.054
micro_precision@1,0.672 ± 0.044
micro_recall@1,0.460 ± 0.041
micro_precision@5,0.217 ± 0.009
micro_recall@5,0.739 ± 0.040
