method,top1,mrr@5,map@5,ndcg@5,recall@1,recall@5,precision@5,f1@5,coverage,sel_acc@80,micro_precision@1,micro_recall@1,micro_precision@5,micro_recall@5,avg_steps
tfidf,0.572 ± 0.041,0.662 ± 0.037,0.564 ± 0.037,0.614 ± 0.036,0.469 ± 0.040,0.666 ± 0.041,0.174 ± 0.009,0.275 ± 0.015,0.803 ± 0.055,0.643 ± 0.044,0.572 ± 0.041,0.391 ± 0.035,0.174 ± 0.009,0.592 ± 0.038,N/A
bm25,0.533 ± 0.037,0.623 ± 0.035,0.532 ± 0.039,0.578 ± 0.037,0.432 ± 0.039,0.625 ± 0.042,0.163 ± 0.010,0.258 ± 0.015,0.739 ± 0.056,0.656 ± 0.046,0.533 ± 0.037,0.365 ± 0.032,0.163 ± 0.010,0.556 ± 0.043,N/A
lsi,0.511 ± 0.041,0.640 ± 0.034,0.541 ± 0.036,0.601 ± 0.035,0.417 ± 0.041,0.676 ± 0.040,0.177 ± 0.010,0.280 ± 0.015,0.922 ± 0.022,0.542 ± 0.044,0.511 ± 0.041,0.351 ± 0.036,0.177 ± 0.010,0.603 ± 0.039,N/A
single,0.533 ± 0.037,0.623 ± 0.035,0.532 ± 0.039,0.578 ± 0.037,0.432 ± 0.039,0.625 ± 0.042,0.163 ± 0.010,0.258 ± 0.015,0.739 ± 0.056,0.656 ± 0.046,0.533 ± 0.037,0.365 ± 0.032,0.163 ± 0.010,0.556 ± 0.043,2.000 ± 0.000
multi,0.550 ± 0.044,0.655 ± 0.036,0.559 ± 0.036,0.615 ± 0.035,0.447 ± 0.041,0.683 ± 0.039,0.181 ± 0.009,0.286 ± 0.014,0.789 ± 0.052,0.644 ± 0.050,0.550 ± 0.044,0.376 ± 0.036,0.181 ± 0.009,0.616 ± 0.037,3.000 ± 0.000
reform,0.644 ± 0.035,0.737 ± 0.026,0.608 ± 0.032,0.671 ± 0.028,0.488 ± 0.038,0.738 ± 0.033,0.199 ± 0.010,0.312 ± 0.014,0.889 ± 0.026,0.691 ± 0.042,0.644 ± 0.035,0.440 ± 0.033,0.199 ± 0.010,0.673 ± 0.034,4.908 ± 0.029
decomp,0.644 ± 0.035,0.737 ± 0.026,0.608 ± 0.032,0.671 ± 0.028,0.488 ± 0.038,0.738 ± 0.033,0.199 ± 0.010,0.312 ± 0.014,0.889 ± 0.026,0.691 ± 0.042,0.644 ± 0.035,0.440 ± 0.033,0.199 ± 0.010,0.673 ± 0.034,5.042 ± 0.031
crossref,0.644 ± 0.035,0.737 ± 0.026,0.608 ± 0.032,0.671 ± 0.028,0.488 ± 0.038,0.738 ± 0.033,0.199 ± 0.010,0.312 ± 0.014,0.844 ± 0.079,0.639 ± 0.047,0.644 ± 0.035,0.440 ± 0.033,0.199 ± 0.010,0.673 ± 0.034,6.042 ± 0.031
agent,0.644 ± 0.035,0.737 ± 0.026,0.608 ± 0.032,0.671 ± 0.028,0.488 ± 0.038,0.738 ± 0.033,0.199 ± 0.010,0.312 ± 0.014,0.833 ± 0.080,0.648 ± 0.043,0.644 ± 0.035,0.440 ± 0.033,0.199 ± 0.010,0.673 ± 0.034,7.042 ± 0.031
