variant,seed,top1,mrr@5,map@5,ndcg@5,recall@1,recall@5,precision@5,f1@5,coverage,sel_acc@80,micro_precision@1,micro_recall@1,micro_precision@5,micro_recall@5,conf_thr,gap_thr,n_test,avg_steps
multi,42,0.38461538461538464,0.48717948717948717,0.23333333333333334,0.31751048150026967,0.1346153846153846,0.31724941724941724,0.18461538461538465,0.23340598092107617,0.7692307692307693,0.4,0.38461538461538464,0.1111111111111111,0.18461538461538463,0.26666666666666666,0.04814747488101534,0.0,13.0,3.0
multi,43,0.23076923076923078,0.2692307692307692,0.10410256410256412,0.14775100063737792,0.05201465201465202,0.10076590076590076,0.10769230769230768,0.1041140329319243,0.6153846153846154,0.375,0.23076923076923078,0.06,0.1076923076923077,0.14,0.048171500630517027,0.0,13.0,3.0
multi,44,0.5384615384615384,0.5769230769230769,0.2833333333333333,0.3579990247233085,0.16056166056166055,0.2591575091575091,0.2153846153846154,0.23525220437609476,0.6153846153846154,0.625,0.5384615384615384,0.14583333333333334,0.2153846153846154,0.2916666666666667,0.048651507139079855,0.0,13.0,3.0
multi,45,0.07692307692307693,0.23717948717948717,0.11641025641025642,0.17595297249125738,0.019230769230769232,0.2141025641025641,0.13846153846153847,0.16816783216783218,0.7692307692307693,0.1,0.07692307692307693,0.021739130434782608,0.13846153846153847,0.1956521739130435,0.04841188524590164,0.0,13.0,3.0
multi,46,0.5384615384615384,0.5833333333333333,0.2964102564102564,0.37274883572506357,0.20448717948717948,0.3096153846153846,0.2153846153846154,0.25404339250493096,0.8461538461538461,0.45454545454545453,0.5384615384615384,0.15555555555555556,0.2153846153846154,0.3111111111111111,0.04814747488101534,0.0,13.0,3.0
multi,47,0.15384615384615385,0.25,0.09102564102564102,0.14456170660148454,0.05128205128205128,0.16666666666666666,0.07692307692307693,0.10526315789473684,0.6923076923076923,0.1111111111111111,0.15384615384615385,0.05555555555555555,0.07692307692307693,0.1388888888888889,0.04838709677419355,0.0,13.0,3.0
multi,48,0.46153846153846156,0.46153846153846156,0.25,0.3089280909426841,0.15598290598290598,0.2435897435897436,0.16923076923076924,0.19971333014811277,0.5384615384615384,0.5714285714285714,0.46153846153846156,0.13333333333333333,0.16923076923076924,0.24444444444444444,0.048651507139079855,0.0,13.0,3.0
multi,49,0.23076923076923078,0.2948717948717948,0.14076923076923079,0.19568483404319517,0.053418803418803416,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.7692307692307693,0.2,0.23076923076923078,0.06976744186046512,0.15384615384615385,0.23255813953488372,0.048131080389144903,0.0,13.0,3.0
multi,50,0.38461538461538464,0.38461538461538464,0.17307692307692307,0.22431405570334517,0.09829059829059829,0.1474358974358974,0.13846153846153844,0.14280786478095892,0.3076923076923077,0.5,0.38461538461538464,0.11627906976744186,0.13846153846153847,0.20930232558139536,0.04841188524590165,0.0,13.0,3.0
multi,51,0.3076923076923077,0.41923076923076924,0.20179487179487182,0.27849193444196707,0.07509157509157509,0.25531135531135535,0.1846153846153846,0.2142829693204381,0.46153846153846156,0.3333333333333333,0.3076923076923077,0.09302325581395349,0.18461538461538463,0.27906976744186046,0.048651507139079855,0.0,13.0,3.0
multi,52,0.23076923076923078,0.33589743589743587,0.16128205128205128,0.2397625550743602,0.07692307692307691,0.2450882450882451,0.16923076923076924,0.20021515215213978,0.46153846153846156,0.3333333333333333,0.23076923076923078,0.046153846153846156,0.16923076923076924,0.16923076923076924,0.04814747488101534,0.0,13.0,3.0
multi,53,0.23076923076923078,0.41666666666666663,0.20846153846153845,0.28894049352805296,0.14102564102564102,0.26483516483516484,0.1846153846153846,0.21756629678390071,0.6923076923076923,0.2222222222222222,0.23076923076923078,0.04225352112676056,0.18461538461538463,0.16901408450704225,0.04839549075403121,0.0,13.0,3.0
multi,54,0.3076923076923077,0.3679487179487179,0.21102564102564106,0.26940360949617287,0.11858974358974358,0.2391025641025641,0.18461538461538465,0.20835563831025256,0.6923076923076923,0.4444444444444444,0.3076923076923077,0.08888888888888889,0.18461538461538463,0.26666666666666666,0.04839549075403121,0.0,13.0,3.0
multi,55,0.23076923076923078,0.3,0.16076923076923075,0.22117241951698868,0.07051282051282051,0.2653846153846154,0.12307692307692307,0.16816450875856814,0.38461538461538464,0.2,0.23076923076923078,0.06818181818181818,0.12307692307692308,0.18181818181818182,0.048651507139079855,0.0,13.0,3.0
multi,56,0.38461538461538464,0.46794871794871795,0.19615384615384618,0.28369189792570126,0.09047619047619047,0.23992673992673993,0.2153846153846154,0.22699424469335971,0.9230769230769231,0.4166666666666667,0.38461538461538464,0.09259259259259259,0.2153846153846154,0.25925925925925924,0.04788306451612903,0.0,13.0,3.0
multi,57,0.23076923076923078,0.31025641025641026,0.21794871794871795,0.27999123233812456,0.13076923076923078,0.32307692307692304,0.16923076923076924,0.2221153846153846,1.0,0.23076923076923078,0.23076923076923078,0.05357142857142857,0.16923076923076924,0.19642857142857142,0.04788306451612903,0.0,13.0,3.0
multi,58,0.23076923076923078,0.31410256410256415,0.14358974358974358,0.20506789789268923,0.047008547008547015,0.1987179487179487,0.13846153846153847,0.16320561567709854,0.8461538461538461,0.09090909090909091,0.23076923076923078,0.06818181818181818,0.13846153846153847,0.20454545454545456,0.04839549075403121,0.0,13.0,3.0
multi,59,0.23076923076923078,0.38461538461538464,0.15794871794871795,0.24354824260823757,0.05064102564102564,0.2775641025641026,0.15384615384615388,0.19796548176934511,0.8461538461538461,0.2727272727272727,0.23076923076923078,0.061224489795918366,0.15384615384615385,0.20408163265306123,0.04814747488101534,0.0,13.0,3.0
multi,60,0.15384615384615385,0.23333333333333334,0.10897435897435896,0.16439665366590764,0.05128205128205128,0.1864801864801865,0.10769230769230768,0.1365354138729733,0.5384615384615384,0.14285714285714285,0.15384615384615385,0.0425531914893617,0.1076923076923077,0.14893617021276595,0.04839549075403121,0.0,13.0,3.0
multi,61,0.23076923076923078,0.35256410256410253,0.1576923076923077,0.2360898642573374,0.05384615384615384,0.2769230769230769,0.15384615384615385,0.1978021978021978,1.0,0.23076923076923078,0.23076923076923078,0.08108108108108109,0.15384615384615385,0.2702702702702703,0.047492767598842814,0.0,13.0,3.0
multi,62,0.3076923076923077,0.36410256410256403,0.19743589743589746,0.26580784695812254,0.14102564102564102,0.2846153846153846,0.15384615384615385,0.1997300944669366,0.3076923076923077,0.25,0.3076923076923077,0.1,0.15384615384615385,0.25,0.04891591750396616,0.0,13.0,3.0
multi,63,0.15384615384615385,0.19230769230769232,0.10256410256410256,0.13446299145882332,0.057692307692307696,0.1282051282051282,0.07692307692307693,0.09615384615384616,0.6153846153846154,0.125,0.15384615384615385,0.046511627906976744,0.07692307692307693,0.11627906976744186,0.048131080389144903,0.0,13.0,3.0
multi,64,0.07692307692307693,0.1346153846153846,0.052564102564102565,0.08568781144851362,0.02564102564102564,0.11794871794871795,0.04615384615384616,0.06634615384615386,0.6923076923076923,0.1111111111111111,0.07692307692307693,0.027777777777777776,0.046153846153846156,0.08333333333333333,0.04817150063051703,0.0,13.0,3.0
multi,65,0.07692307692307693,0.18589743589743588,0.06897435897435898,0.1230654957854923,0.003663003663003663,0.11062271062271065,0.12307692307692308,0.11651796479382687,0.9230769230769231,0.08333333333333333,0.07692307692307693,0.01639344262295082,0.12307692307692308,0.13114754098360656,0.047169957774465976,0.0,13.0,3.0
multi,66,0.38461538461538464,0.4,0.2117948717948718,0.2778847376589237,0.11858974358974358,0.25961538461538464,0.16923076923076924,0.20489824077268023,0.23076923076923078,0.6666666666666666,0.38461538461538464,0.12195121951219512,0.16923076923076924,0.2682926829268293,0.04865990111891752,0.0,13.0,3.0
multi,67,0.23076923076923078,0.2692307692307692,0.16794871794871796,0.20855987217037478,0.08974358974358973,0.20512820512820512,0.12307692307692307,0.15384615384615385,0.5384615384615384,0.42857142857142855,0.23076923076923078,0.10714285714285714,0.12307692307692308,0.2857142857142857,0.04817150063051703,0.0,13.0,3.0
multi,68,0.3076923076923077,0.3743589743589743,0.1158974358974359,0.20049135283759908,0.05494505494505494,0.18098568098568102,0.15384615384615385,0.16631603105993958,0.38461538461538464,0.2,0.3076923076923077,0.06060606060606061,0.15384615384615385,0.15151515151515152,0.04839549075403121,0.0,13.0,3.0
multi,69,0.15384615384615385,0.25256410256410255,0.09487179487179488,0.1572092785466824,0.02564102564102564,0.11981351981351981,0.15384615384615385,0.13471366793342943,0.7692307692307693,0.2,0.15384615384615385,0.03125,0.15384615384615385,0.15625,0.04765107388058208,0.0,13.0,3.0
multi,70,0.23076923076923078,0.25,0.11025641025641024,0.15166379516310438,0.06483516483516483,0.1399267399267399,0.09230769230769233,0.11123513710264499,1.0,0.23076923076923078,0.23076923076923078,0.08571428571428572,0.09230769230769231,0.17142857142857143,0.046634615384615385,0.0,13.0,3.0
multi,71,0.23076923076923078,0.3333333333333333,0.18923076923076923,0.2542421037769487,0.14102564102564102,0.2641025641025641,0.13846153846153844,0.18167564919157272,0.9230769230769231,0.25,0.23076923076923078,0.061224489795918366,0.13846153846153847,0.1836734693877551,0.04787506400409626,0.0,13.0,3.0
