variant,seed,top1,mrr@5,map@5,ndcg@5,recall@1,recall@5,precision@5,f1@5,coverage,sel_acc@80,micro_precision@1,micro_recall@1,micro_precision@5,micro_recall@5,conf_thr,gap_thr,n_test
lsi,42,0.38461538461538464,0.4743589743589744,0.23066239316239315,0.30602978312509127,0.1346153846153846,0.2851981351981352,0.20000000000000004,0.23511890463607976,1.0,0.38461538461538464,0.38461538461538464,0.1111111111111111,0.2,0.28888888888888886,0.26263198389080306,0.0,13.0
lsi,43,0.23076923076923078,0.25,0.09102564102564102,0.13243384737551925,0.05201465201465202,0.08538128538128537,0.09230769230769233,0.08870949140814208,0.7692307692307693,0.3,0.23076923076923078,0.06,0.09230769230769231,0.12,0.31953172504997285,0.0,13.0
lsi,44,0.5384615384615384,0.5641025641025641,0.2840384615384615,0.36638898161975314,0.16056166056166055,0.2912087912087912,0.24615384615384614,0.2667925121912852,0.7692307692307693,0.7,0.5384615384615384,0.14583333333333334,0.24615384615384617,0.3333333333333333,0.3218906744111617,0.0,13.0
lsi,45,0.07692307692307693,0.18846153846153849,0.13297008547008546,0.195533160957661,0.019230769230769232,0.2717948717948718,0.18461538461538465,0.2198789974070873,1.0,0.07692307692307693,0.07692307692307693,0.021739130434782608,0.18461538461538463,0.2608695652173913,0.2392810454078904,0.0,13.0
lsi,46,0.23076923076923078,0.31666666666666665,0.17211538461538461,0.23823361983516092,0.04807692307692308,0.26794871794871794,0.18461538461538465,0.218609718893005,0.6923076923076923,0.2222222222222222,0.23076923076923078,0.06666666666666667,0.18461538461538463,0.26666666666666666,0.23660525391355797,0.01,13.0
lsi,47,0.07692307692307693,0.16025641025641024,0.07649572649572649,0.12960597615010225,0.02564102564102564,0.19230769230769232,0.0923076923076923,0.12474012474012475,0.6153846153846154,0.125,0.07692307692307693,0.027777777777777776,0.09230769230769231,0.16666666666666666,0.3285774745224328,0.0,13.0
lsi,48,0.38461538461538464,0.4230769230769231,0.22641025641025642,0.28731216820112404,0.11752136752136753,0.23076923076923078,0.18461538461538465,0.20512820512820515,0.7692307692307693,0.4,0.38461538461538464,0.1111111111111111,0.18461538461538463,0.26666666666666666,0.3226454225038813,0.0,13.0
lsi,49,0.23076923076923078,0.2948717948717948,0.12884615384615383,0.18208667890974484,0.053418803418803416,0.1346153846153846,0.13846153846153847,0.13651137594799564,0.8461538461538461,0.2727272727272727,0.23076923076923078,0.06976744186046512,0.13846153846153847,0.20930232558139536,0.3672653288412881,0.0,13.0
lsi,50,0.38461538461538464,0.38461538461538464,0.1794871794871795,0.23213422399142108,0.09829059829059829,0.16025641025641024,0.15384615384615385,0.15698587127158553,0.46153846153846156,0.5,0.38461538461538464,0.11627906976744186,0.15384615384615385,0.23255813953488372,0.38921237320798163,0.0,13.0
lsi,51,0.23076923076923078,0.30641025641025643,0.14974358974358973,0.22365806192657772,0.036630036630036625,0.2424908424908425,0.19999999999999998,0.219205298013245,0.9230769230769231,0.16666666666666666,0.23076923076923078,0.06976744186046512,0.2,0.3023255813953488,0.33869287264403114,0.0,13.0
lsi,52,0.15384615384615385,0.24871794871794872,0.1082051282051282,0.1728011311969072,0.019813519813519812,0.17732267732267729,0.15384615384615388,0.16475229144912404,0.46153846153846156,0.0,0.15384615384615385,0.03076923076923077,0.15384615384615385,0.15384615384615385,0.3869678274639281,0.0,13.0
