method,top1,mrr@5,map@5,ndcg@5,recall@1,recall@5,precision@5,f1@5,coverage,sel_acc@80,micro_precision@1,micro_recall@1,micro_precision@5,micro_recall@5,avg_steps
tfidf,0.511 ± 0.041,0.588 ± 0.039,0.504 ± 0.036,0.548 ± 0.036,0.424 ± 0.037,0.593 ± 0.041,0.151 ± 0.012,0.240 ± 0.018,0.803 ± 0.055,0.643 ± 0.044,0.643 ± 0.044,0.349 ± 0.033,0.188 ± 0.007,0.512 ± 0.041,N/A
bm25,0.481 ± 0.043,0.537 ± 0.043,0.473 ± 0.044,0.504 ± 0.043,0.401 ± 0.044,0.535 ± 0.047,0.136 ± 0.012,0.216 ± 0.018,0.739 ± 0.056,0.656 ± 0.046,0.656 ± 0.046,0.330 ± 0.036,0.185 ± 0.011,0.462 ± 0.045,N/A
lsi,0.500 ± 0.042,0.623 ± 0.035,0.529 ± 0.034,0.586 ± 0.033,0.410 ± 0.040,0.659 ± 0.037,0.172 ± 0.010,0.272 ± 0.015,0.922 ± 0.022,0.542 ± 0.044,0.542 ± 0.044,0.343 ± 0.036,0.187 ± 0.010,0.585 ± 0.038,N/A
single,0.481 ± 0.043,0.537 ± 0.043,0.473 ± 0.044,0.504 ± 0.043,0.401 ± 0.044,0.535 ± 0.047,0.136 ± 0.012,0.216 ± 0.018,0.739 ± 0.056,0.656 ± 0.046,0.656 ± 0.046,0.330 ± 0.036,0.185 ± 0.011,0.462 ± 0.045,2.000 ± 0.000
multi,0.503 ± 0.044,0.576 ± 0.041,0.500 ± 0.041,0.540 ± 0.042,0.417 ± 0.042,0.582 ± 0.048,0.148 ± 0.013,0.236 ± 0.020,0.789 ± 0.052,0.644 ± 0.050,0.644 ± 0.050,0.346 ± 0.038,0.188 ± 0.010,0.507 ± 0.050,3.000 ± 0.000
reform,0.619 ± 0.031,0.711 ± 0.027,0.596 ± 0.032,0.656 ± 0.029,0.476 ± 0.036,0.724 ± 0.034,0.191 ± 0.010,0.302 ± 0.015,0.964 ± 0.024,0.645 ± 0.036,0.645 ± 0.036,0.423 ± 0.030,0.199 ± 0.010,0.648 ± 0.037,5.042 ± 0.031
crossref,0.617 ± 0.031,0.705 ± 0.026,0.584 ± 0.032,0.643 ± 0.029,0.468 ± 0.035,0.706 ± 0.035,0.188 ± 0.010,0.296 ± 0.015,0.942 ± 0.019,0.656 ± 0.033,0.656 ± 0.033,0.420 ± 0.028,0.200 ± 0.011,0.638 ± 0.035,6.042 ± 0.031
agent,0.617 ± 0.031,0.705 ± 0.026,0.584 ± 0.032,0.643 ± 0.029,0.468 ± 0.035,0.706 ± 0.035,0.188 ± 0.010,0.296 ± 0.015,0.942 ± 0.019,0.656 ± 0.033,0.656 ± 0.033,0.420 ± 0.028,0.200 ± 0.011,0.638 ± 0.035,7.042 ± 0.031
